Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
37047,20090516:0900,8.8,24,0.8,24,-,-,-,-,-,D
37047,20090517:0900,6.9,24,0.4,24,-,-,-,-,-,D
37047,20090518:0900,2.2,24,0.1,24,-,-,-,-,-,D
37047,20090519:0900,1.9,24,-1.4,24,-,-,-,-,-,D
37047,20090520:0900,1.3,24,-2.6,24,-,-,-,-,-,D
37047,20090521:0900,0.1,24,-1.2,24,-,-,-,-,-,D
37047,20090522:0900,1.9,24,-0.6,24,-,-,-,-,-,D
37047,20090523:0900,2.3,24,0.3,24,-,-,-,-,-,D
37047,20090524:0900,4.9,24,2.1,24,-,-,-,-,-,D
37047,20090525:0900,4.2,24,-2.3,24,-,-,-,-,-,D
37047,20090526:0900,0.0,24,-2.4,24,-,-,-,-,-,D
37047,20090527:0900,3.5,24,-2.6,24,-,-,-,-,-,D
37047,20090528:0900,4.0,24,-2.6,24,-,-,-,-,-,D
37047,20090529:0900,6.0,24,-1.0,24,-,-,-,-,-,D
37047,20090530:0900,4.9,24,-3.3,24,-,-,-,-,-,D
37047,20090531:0900,3.2,24,-3.2,24,-,-,-,-,-,D
37047,20090601:0900,1.5,24,-1.4,24,-,-,-,-,-,D
37047,20090602:0900,2.7,24,-4.0,24,-,-,-,-,-,D
37047,20090603:0900,0.4,24,-5.6,24,-,-,-,-,-,D
37047,20090604:0900,0.9,24,-5.3,24,-,-,-,-,-,D
37047,20090605:0900,3.8,24,-1.1,24,-,-,-,-,-,D
37047,20090606:0900,3.1,24,-3.3,24,-,-,-,-,-,D
37047,20090607:0900,1.9,24,-6.2,24,-,-,-,-,-,D
37047,20090608:0900,2.3,24,-5.8,24,-,-,-,-,-,D
37047,20090609:0900,5.9,24,-1.7,24,-,-,-,-,-,D
37047,20090610:0900,6.8,24,1.0,24,-,-,-,-,-,D
37047,20090611:0900,6.2,24,1.4,24,-,-,-,-,-,D
37047,20090612:0900,6.3,24,1.1,24,-,-,-,-,-,D
37047,20090613:0900,7.3,24,-2.2,24,-,-,-,-,-,D
37047,20090614:0900,3.0,24,-2.4,24,-,-,-,-,-,D
37047,20090615:0900,3.0,24,-1.1,24,-,-,-,-,-,D
37047,20090616:0900,2.2,24,-4.0,24,-,-,-,-,-,D
