"Monitoring Site","Date Collected","Species Name","Seeds m2","Cumulative sum for year to date"
"Takahe Valley","1979-05-31","Mountain Beech","7482","7482"
"Takahe Valley","1980-05-31","Mountain Beech","12","12"
"Takahe Valley","1981-05-31","Mountain Beech","1509","1509"
"Takahe Valley","1982-05-31","Mountain Beech","3182","3182"
"Takahe Valley","1983-05-31","Mountain Beech","57","57"
"Takahe Valley","1984-05-31","Mountain Beech","97","97"
"Takahe Valley","1985-05-31","Mountain Beech","1817","1817"
"Takahe Valley","1986-05-31","Mountain Beech","1031","1031"
"Takahe Valley","1987-05-31","Mountain Beech","1122","1122"
"Takahe Valley","1989-05-31","Mountain Beech","1300","1300"
"Takahe Valley","1990-05-31","Mountain Beech","5195","5195"
"Takahe Valley","1991-05-31","Mountain Beech","23","23"
"Takahe Valley","1992-05-31","Mountain Beech","265","265"
"Takahe Valley","1993-05-31","Mountain Beech","234","234"
"Takahe Valley","1994-05-31","Mountain Beech","115","115"
"Takahe Valley","1995-05-31","Mountain Beech","4169","4169"
"Takahe Valley","1996-05-31","Mountain Beech","217","217"
"Takahe Valley","1997-05-31","Mountain Beech","1277","1277"
"Takahe Valley","1998-05-31","Mountain Beech","352","352"
"Takahe Valley","1999-05-31","Mountain Beech","2660","2660"
"Takahe Valley","2000-05-31","Mountain Beech","1115","1115"
"Takahe Valley","2001-05-31","Mountain Beech","15","15"
"Takahe Valley","2002-05-31","Mountain Beech","738","738"
"Takahe Valley","2003-05-31","Mountain Beech","57","57"
"Takahe Valley","2004-06-01","Mountain Beech","1841","1841"
"Takahe Valley","2004-06-01","Silver Beech","8","8"
"Takahe Valley","2005-05-31","Mountain Beech","6","6"
"Takahe Valley","2006-03-31","Mountain Beech","313","313"
"Takahe Valley","2006-05-01","Mountain Beech","2742","3055"
"Takahe Valley","2006-06-01","Mountain Beech","1064","4119"
"Takahe Valley","2006-03-31","Silver Beech","0","0"
"Takahe Valley","2006-05-01","Silver Beech","1","1"
"Takahe Valley","2006-06-01","Silver Beech","1","2"
"Takahe Valley","2007-05-31","Mountain Beech","54","54"
"Takahe Valley","2008-03-14","Mountain Beech","35","35"
"Takahe Valley","2008-04-10","Mountain Beech","297","332"
"Takahe Valley","2008-06-04","Mountain Beech","1329","1661"
"Takahe Valley","2008-03-14","Silver Beech","0","0"
"Takahe Valley","2008-04-10","Silver Beech","0","0"
"Takahe Valley","2008-06-04","Silver Beech","1","1"
"Takahe Valley","2009-04-01","Mountain Beech","7","7"
"Takahe Valley","2009-05-01","Mountain Beech","851","858"
"Takahe Valley","2009-06-01","Mountain Beech","316","1174"
"Takahe Valley","2009-04-01","Silver Beech","0","0"
"Takahe Valley","2009-05-01","Silver Beech","14","14"
"Takahe Valley","2009-06-01","Silver Beech","1","15"
"Takahe Valley","2010-04-30","Mountain Beech","5","5"
"Takahe Valley","2010-05-31","Mountain Beech","3","8"
"Takahe Valley","2010-06-29","Mountain Beech","2","10"
"Takahe Valley","2010-04-30","Silver Beech","0","0"
"Takahe Valley","2010-05-31","Silver Beech","0","0"
"Takahe Valley","2010-06-29","Silver Beech","0","0"
"Takahe Valley","2011-04-13","Mountain Beech","5318","5318"
"Takahe Valley","2011-06-22","Mountain Beech","7219","12537"
"Takahe Valley","2011-04-13","Silver Beech","9","9"
"Takahe Valley","2011-06-22","Silver Beech","240","249"
"Takahe Valley","2012-04-22","Mountain Beech","20","20"
"Takahe Valley","2012-06-21","Mountain Beech","9","29"
"Takahe Valley","2012-04-22","Silver Beech","1","1"
"Takahe Valley","2012-06-21","Silver Beech","0","1"
"Takahe Valley","2013-04-18","Mountain Beech","32","32"
"Takahe Valley","2013-06-06","Mountain Beech","1087","1119"
"Takahe Valley","2013-04-18","Silver Beech","0","0"
"Takahe Valley","2013-06-06","Silver Beech","1","1"
"Takahe Valley","2014-04-30","Mountain Beech","1626","1626"
"Takahe Valley","2014-06-18","Mountain Beech","6404","8030"
"Takahe Valley","2014-04-30","Silver Beech","2","2"
"Takahe Valley","2014-06-18","Silver Beech","83","85"
"Takahe Valley","2016-05-21","Mountain Beech","9959","9959"
"Takahe Valley","2016-05-21","Silver Beech","33","33"
"Takahe Valley","2017-05-05","Mountain Beech","62","62"
"Takahe Valley","2017-05-05","Silver Beech","8","8"
"Takahe Valley","2018-03-06","Mountain Beech","4","4"
"Takahe Valley","2018-03-06","Silver Beech","1","1"
"Takahe Valley","2019-04-25","Mountain Beech","9810","9810"
"Takahe Valley","2019-04-25","Silver Beech","10","10"
"Takahe Valley","1979-05-31","All Beech","7482","7482"
"Takahe Valley","1980-05-31","All Beech","12","12"
"Takahe Valley","1981-05-31","All Beech","1509","1509"
"Takahe Valley","1982-05-31","All Beech","3182","3182"
"Takahe Valley","1983-05-31","All Beech","57","57"
"Takahe Valley","1984-05-31","All Beech","97","97"
"Takahe Valley","1985-05-31","All Beech","1817","1817"
"Takahe Valley","1986-05-31","All Beech","1031","1031"
"Takahe Valley","1987-05-31","All Beech","1122","1122"
"Takahe Valley","1989-05-31","All Beech","1300","1300"
"Takahe Valley","1990-05-31","All Beech","5195","5195"
"Takahe Valley","1991-05-31","All Beech","23","23"
"Takahe Valley","1992-05-31","All Beech","265","265"
"Takahe Valley","1993-05-31","All Beech","234","234"
"Takahe Valley","1994-05-31","All Beech","115","115"
"Takahe Valley","1995-05-31","All Beech","4169","4169"
"Takahe Valley","1996-05-31","All Beech","217","217"
"Takahe Valley","1997-05-31","All Beech","1277","1277"
"Takahe Valley","1998-05-31","All Beech","352","352"
"Takahe Valley","1999-05-31","All Beech","2660","2660"
"Takahe Valley","2000-05-31","All Beech","1115","1115"
"Takahe Valley","2001-05-31","All Beech","15","15"
"Takahe Valley","2002-05-31","All Beech","738","738"
"Takahe Valley","2003-05-31","All Beech","57","57"
"Takahe Valley","2004-06-01","All Beech","1849","1849"
"Takahe Valley","2005-05-31","All Beech","6","6"
"Takahe Valley","2006-03-31","All Beech","313","313"
"Takahe Valley","2006-05-01","All Beech","2744","3057"
"Takahe Valley","2006-06-01","All Beech","1065","4122"
"Takahe Valley","2007-05-31","All Beech","54","54"
"Takahe Valley","2008-03-14","All Beech","35","35"
"Takahe Valley","2008-04-10","All Beech","297","332"
"Takahe Valley","2008-06-04","All Beech","1330","1662"
"Takahe Valley","2009-04-01","All Beech","7","7"
"Takahe Valley","2009-05-01","All Beech","865","872"
"Takahe Valley","2009-06-01","All Beech","317","1189"
"Takahe Valley","2010-04-30","All Beech","5","5"
"Takahe Valley","2010-05-31","All Beech","3","8"
"Takahe Valley","2010-06-29","All Beech","2","10"
"Takahe Valley","2011-04-13","All Beech","5328","5328"
"Takahe Valley","2011-06-22","All Beech","7459","12787"
"Takahe Valley","2012-04-22","All Beech","21","21"
"Takahe Valley","2012-06-21","All Beech","9","30"
"Takahe Valley","2013-04-18","All Beech","32","32"
"Takahe Valley","2013-06-06","All Beech","1088","1120"
"Takahe Valley","2014-04-30","All Beech","1628","1628"
"Takahe Valley","2014-06-18","All Beech","6486","8114"
"Takahe Valley","2016-05-21","All Beech","9993","9993"
"Takahe Valley","2017-05-05","All Beech","70","70"
"Takahe Valley","2018-03-06","All Beech","4","4"
"Takahe Valley","2019-04-25","All Beech","9820","9820"
